date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:25	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://gtfobins.github.io/robots.txt		(from )
09:24:25	165828/165828	---M-Z	200	added ('OK')	text/html	etag:W/%2260147a33-287c4%22	https://gtfobins.github.io/	D:/Downloads/GTFOBins/gtfobins.github.io/index.html	(from )
09:24:26	2121/2121	---M--	200	added ('OK')	image/png	etag:%2260147a27-849%22	https://gtfobins.github.io/assets/logo.png	D:/Downloads/GTFOBins/gtfobins.github.io/assets/logo.png	(from https://gtfobins.github.io/)
09:24:26	2734/2734	---M-Z	200	added ('OK')	text/css	etag:W/%2260147a33-aae%22	https://gtfobins.github.io/assets/style.css	D:/Downloads/GTFOBins/gtfobins.github.io/assets/style.css	(from https://gtfobins.github.io/)
09:24:27	15339/15339	---M-Z	200	added ('OK')	application/javascript	etag:W/%226010a69c-3beb%22	https://buttons.github.io/buttons.js	D:/Downloads/GTFOBins/buttons.github.io/buttons.js	(from https://gtfobins.github.io/)
09:24:28	6275/6275	---M-Z	200	added ('OK')	text/html	etag:W/%2260147a33-1883%22	https://gtfobins.github.io/contribute/	D:/Downloads/GTFOBins/gtfobins.github.io/contribute/index.html	(from https://gtfobins.github.io/)
09:24:28	6905/6905	---M-Z	200	added ('OK')	text/html	etag:W/%2260147a33-1af9%22	https://gtfobins.github.io/functions/	D:/Downloads/GTFOBins/gtfobins.github.io/functions/index.html	(from https://gtfobins.github.io/)
09:24:28	4912/4912	---M-Z	200	added ('OK')	text/html	etag:W/%2260147a33-1330%22	https://gtfobins.github.io/gtfobins/apt-get/	D:/Downloads/GTFOBins/gtfobins.github.io/gtfobins/apt-get/index.html	(from https://gtfobins.github.io/)
09:24:29	5298/5298	---M-Z	200	added ('OK')	text/html	etag:W/%2260147a33-14b2%22	https://gtfobins.github.io/gtfobins/ar/	D:/Downloads/GTFOBins/gtfobins.github.io/gtfobins/ar/index.html	(from https://gtfobins.github.io/)
09:24:29	4888/4888	---M-Z	200	added ('OK')	text/html	etag:W/%2260147a33-1318%22	https://gtfobins.github.io/gtfobins/apt/	D:/Downloads/GTFOBins/gtfobins.github.io/gtfobins/apt/index.html	(from https://gtfobins.github.io/)
09:24:30	5884/5884	---M-Z	200	added ('OK')	text/html	etag:W/%2260147a33-16fc%22	https://gtfobins.github.io/gtfobins/aria2c/	D:/Downloads/GTFOBins/gtfobins.github.io/gtfobins/aria2c/index.html	(from https://gtfobins.github.io/)
