date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:29:05	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f2a18c0-247b%22	https://lolbas-project.github.io/robots.txt		(from )
09:29:05	52810/52810	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-ce4a%22	https://lolbas-project.github.io/	D:/Downloads/LOLBAS/lolbas-project.github.io/index.html	(from )
09:29:06	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f73a03c-247b%22	https://lolbas-project.github.io/assets/logo.png	D:/Downloads/LOLBAS/lolbas-project.github.io/assets/logo.png	(from https://lolbas-project.github.io/)
09:29:06	2019/2019	---M-Z	200	added ('OK')	text/css	etag:W/%226009f94d-7e3%22	https://lolbas-project.github.io/assets/style.css	D:/Downloads/LOLBAS/lolbas-project.github.io/assets/style.css	(from https://lolbas-project.github.io/)
09:29:07	15339/15339	---M-Z	200	added ('OK')	application/javascript	etag:W/%226010a69c-3beb%22	https://buttons.github.io/buttons.js	D:/Downloads/LOLBAS/buttons.github.io/buttons.js	(from https://lolbas-project.github.io/)
09:29:08	144/144	---MC-	302	error ('Found')	text/html	date:Sat,%2030%20Jan%202021%2009:29:08%20GMT	https://github.com/LOLBAS-Project/LOLBAS/raw/master/Logo/LOLBAS.png	D:/Downloads/LOLBAS/github.com/LOLBAS-Project/LOLBAS/raw/master/Logo/LOLBAS.3.delayed	(from https://lolbas-project.github.io/)
09:29:09	5135/5135	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-140f%22	https://lolbas-project.github.io/lolbas/Binaries/At/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/At/index.html	(from https://lolbas-project.github.io/)
09:29:11	4411/4411	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-113b%22	https://lolbas-project.github.io/lolbas/Binaries/AppInstaller/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/AppInstaller/index.html	(from https://lolbas-project.github.io/)
09:29:11	4550/4550	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-11c6%22	https://lolbas-project.github.io/lolbas/Binaries/Atbroker/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Atbroker/index.html	(from https://lolbas-project.github.io/)
09:29:12	5615/5615	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-15ef%22	https://lolbas-project.github.io/lolbas/Binaries/Bash/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Bash/index.html	(from https://lolbas-project.github.io/)
09:29:12	7333/7333	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1ca5%22	https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Bitsadmin/index.html	(from https://lolbas-project.github.io/)
09:29:13	4835/4835	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-12e3%22	https://lolbas-project.github.io/lolbas/Binaries/Certreq/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Certreq/index.html	(from https://lolbas-project.github.io/)
09:29:14	4846/4846	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-12ee%22	https://lolbas-project.github.io/lolbas/Binaries/Cmd/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Cmd/index.html	(from https://lolbas-project.github.io/)
09:29:15	7393/7393	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1ce1%22	https://lolbas-project.github.io/lolbas/Binaries/Certutil/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Certutil/index.html	(from https://lolbas-project.github.io/)
09:29:16	4431/4431	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-114f%22	https://lolbas-project.github.io/lolbas/Binaries/Cmdkey/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Cmdkey/index.html	(from https://lolbas-project.github.io/)
09:29:16	6282/6282	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-188a%22	https://lolbas-project.github.io/lolbas/Binaries/Cmstp/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Cmstp/index.html	(from https://lolbas-project.github.io/)
09:29:17	5405/5405	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-151d%22	https://lolbas-project.github.io/lolbas/Binaries/ConfigSecurityPolicy/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/ConfigSecurityPolicy/index.html	(from https://lolbas-project.github.io/)
09:29:18	5079/5079	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-13d7%22	https://lolbas-project.github.io/lolbas/Binaries/Control/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Control/index.html	(from https://lolbas-project.github.io/)
09:29:19	4886/4886	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1316%22	https://lolbas-project.github.io/lolbas/Binaries/Csc/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Csc/index.html	(from https://lolbas-project.github.io/)
09:29:19	4558/4558	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-11ce%22	https://lolbas-project.github.io/lolbas/Binaries/Cscript/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Cscript/index.html	(from https://lolbas-project.github.io/)
09:29:19	5232/5232	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1470%22	https://lolbas-project.github.io/lolbas/Binaries/DataSvcUtil/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/DataSvcUtil/index.html	(from https://lolbas-project.github.io/)
09:29:19	4452/4452	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1164%22	https://lolbas-project.github.io/lolbas/Binaries/Desktopimgdownldr/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Desktopimgdownldr/index.html	(from https://lolbas-project.github.io/)
09:29:20	4644/4644	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1224%22	https://lolbas-project.github.io/lolbas/Binaries/Dfsvc/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Dfsvc/index.html	(from https://lolbas-project.github.io/)
09:29:20	5182/5182	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-143e%22	https://lolbas-project.github.io/lolbas/Binaries/Diantz/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Diantz/index.html	(from https://lolbas-project.github.io/)
09:29:21	4915/4915	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1333%22	https://lolbas-project.github.io/lolbas/Binaries/Diskshadow/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Diskshadow/index.html	(from https://lolbas-project.github.io/)
09:29:21	4463/4463	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-116f%22	https://lolbas-project.github.io/lolbas/Binaries/Dllhost/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Dllhost/index.html	(from https://lolbas-project.github.io/)
09:29:23	5308/5308	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-14bc%22	https://lolbas-project.github.io/lolbas/Binaries/Dnscmd/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Dnscmd/index.html	(from https://lolbas-project.github.io/)
09:29:24	5047/5047	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-13b7%22	https://lolbas-project.github.io/lolbas/Binaries/Eventvwr/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Eventvwr/index.html	(from https://lolbas-project.github.io/)
09:29:24	7239/7239	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1c47%22	https://lolbas-project.github.io/lolbas/Binaries/Esentutl/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Esentutl/index.html	(from https://lolbas-project.github.io/)
09:29:25	5446/5446	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1546%22	https://lolbas-project.github.io/lolbas/Binaries/Expand/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Expand/index.html	(from https://lolbas-project.github.io/)
09:29:25	5245/5245	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-147d%22	https://lolbas-project.github.io/lolbas/Binaries/Explorer/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Explorer/index.html	(from https://lolbas-project.github.io/)
09:29:26	4294/4294	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-10c6%22	https://lolbas-project.github.io/lolbas/Binaries/Extexport/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Extexport/index.html	(from https://lolbas-project.github.io/)
09:29:26	6388/6388	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-18f4%22	https://lolbas-project.github.io/lolbas/Binaries/Extrac32/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Extrac32/index.html	(from https://lolbas-project.github.io/)
09:29:27	6435/6435	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1923%22	https://lolbas-project.github.io/lolbas/Binaries/Findstr/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Findstr/index.html	(from https://lolbas-project.github.io/)
09:29:27	5473/5473	---M-Z	200	added ('OK')	text/html	etag:W/%226009f94d-1561%22	https://lolbas-project.github.io/lolbas/Binaries/Forfiles/	D:/Downloads/LOLBAS/lolbas-project.github.io/lolbas/Binaries/Forfiles/index.html	(from https://lolbas-project.github.io/)
